"Nekateri kazalniki transporta po statistiènih regijah, Slovenija, letno"

"KAZALNIK";"STATISTIÈNA REGIJA";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Število osebnih avtomobilov na 1.000 prebivalcev";"Pomurska";484;490;496;501;504;509;513;524;538;555;565
"Število osebnih avtomobilov na 1.000 prebivalcev";"Podravska";494;494;496;497;496;500;508;517;526;534;541
"Število osebnih avtomobilov na 1.000 prebivalcev";"Koroška";490;494;500;503;507;511;513;523;532;547;554
"Število osebnih avtomobilov na 1.000 prebivalcev";"Savinjska";506;510;513;513;512;515;515;523;534;547;555
"Število osebnih avtomobilov na 1.000 prebivalcev";"Zasavska";468;469;468;470;469;472;482;491;501;517;524
"Število osebnih avtomobilov na 1.000 prebivalcev";"Posavska";518;521;525;525;529;533;536;548;560;574;584
"Število osebnih avtomobilov na 1.000 prebivalcev";"Jugovzhodna Slovenija";506;510;515;517;517;523;527;537;551;564;571
"Število osebnih avtomobilov na 1.000 prebivalcev";"Osrednjeslovenska";528;524;521;516;510;508;517;522;530;530;535
"Število osebnih avtomobilov na 1.000 prebivalcev";"Gorenjska";517;518;518;517;516;518;521;529;539;547;551
"Število osebnih avtomobilov na 1.000 prebivalcev";"Primorsko-notranjska";542;545;550;555;553;555;558;569;581;596;604
"Število osebnih avtomobilov na 1.000 prebivalcev";"Goriška";581;580;580;577;577;579;580;589;600;614;621
"Število osebnih avtomobilov na 1.000 prebivalcev";"Obalno-kraška";569;569;568;563;558;559;561;567;576;585;589
